date,Average of priceMin,Average of priceMax,Average of priceMod
01-01-96,160,257,226
02-01-96,133,229,186
03-01-96,155,274,243
04-01-96,136,279,254
05-01-96,154,312,269
06-01-96,229,413,367
07-01-96,229,406,368
08-01-96,164,388,340
09-01-96,145,363,317
10-01-96,160,560,492
11-01-96,138,498,376
12-01-96,138,451,385
01-01-97,126,323,290
02-01-97,134,305,271
03-01-97,138,310,273
04-01-97,149,240,214
05-01-97,123,238,213
06-01-97,64,237,195
07-01-97,58,193,148.2
08-01-97,71.6,235.4,195
09-01-97,78.4,289.2,240.6
10-01-97,115.8,388.4,322
11-01-97,211.4,741.6,617.4
12-01-97,192,990.25,688.75
01-01-98,433.8571429,1528.714286,1049.571429
02-01-98,333.5,1062.25,822
03-01-98,226.1111111,466.7777778,399.3333333
04-01-98,146.7,292.3,243.3
05-01-98,176.8,354.4,297
06-01-98,300.3333333,653.2222222,566.5555556
07-01-98,509.2222222,897,829.1111111
08-01-98,696.1111111,1439.666667,1287.555556
09-01-98,1014.555556,1876.666667,1723.666667
10-01-98,1148.1,2703.8,2116.9
11-01-98,768.125,1833.125,1436.625
12-01-98,651.875,1221.625,1044.25
01-01-99,332,579,491.7777778
02-01-99,198.5454545,330.4545455,283.0909091
03-01-99,166.3636364,290.0909091,246.7272727
04-01-99,185.5454545,412.6363636,341.2727273
05-01-99,225.4545455,545.3636364,451.4545455
06-01-99,228.8,497.9,417.5
07-01-99,228.1,487,425.1
08-01-99,251.3,443.6,397
09-01-99,363.3,669.9,606.6
10-01-99,299.6,633.1,556.2
11-01-99,224.5,528.8,434.9
12-01-99,181.2727273,351.5454545,296.6363636
01-01-00,150.4545455,276.8181818,226.7272727
02-01-00,148,269.0909091,215.6363636
03-01-00,147.3636364,243,208.3636364
04-01-00,98.27272727,253,202.6363636
05-01-00,93.5,261.6,198.9
06-01-00,85.9,260.9,187.8
07-01-00,99.1,267.9,203.3
08-01-00,123.6,311.6,254.6
09-01-00,144,352.7,297.1
10-01-00,214.1,494.8,415.7
11-01-00,285.2,679.1,559.6
12-01-00,297.8,587.3,498.3
01-01-01,276.5,543.3,478.1
02-01-01,227.6,378.9,333.5
03-01-01,192.5,341.8,303.5
04-01-01,146.4,288.5,247.6
05-01-01,108.3,264.3,216.7
06-01-01,157.7,333.5,284.9
07-01-01,215.1,384.7,333.7
08-01-01,301,578.8,498.3
09-01-01,248.4545455,554.6363636,465.3636364
10-01-01,233.6363636,607.6363636,511.2727273
11-01-01,318.4545455,860.9090909,699.3636364
12-01-01,226.4615385,489.3076923,403.3076923
01-01-02,125.2173913,389.5217391,281.3913043
02-01-02,118.5714286,318.0952381,237.1428571
03-01-02,114.15,266.9,208.4
04-01-02,107.2272727,263.1363636,205.1818182
05-01-02,103.1428571,272.3333333,208.2857143
06-01-02,150.1818182,371.7727273,299.1363636
07-01-02,173.1818182,441.1363636,356.0454545
08-01-02,224.2272727,573.8636364,450
09-01-02,236.0454545,603.6363636,463.5454545
10-01-02,284.7272727,725.8181818,558.4090909
11-01-02,240.6,599.4,463.7
12-01-02,179.2105263,434.7894737,314.7894737
01-01-03,133.4545455,342.1818182,231.6818182
02-01-03,108.7391304,298.4347826,192.6956522
03-01-03,145.6818182,322.4090909,245
04-01-03,197.3478261,402.8695652,323.5652174
05-01-03,201.0833333,436.5,344.8333333
06-01-03,252.24,544.88,431.44
07-01-03,283.5,574.0416667,461.4583333
08-01-03,286.84,628.44,478.4
09-01-03,287.0769231,670.5,517.6923077
10-01-03,380.2916667,889.9583333,695.7916667
11-01-03,287.6,724.56,544.84
12-01-03,325.2592593,782.2222222,615.8148148
01-01-04,533.5555556,922.8444444,775.2
02-01-04,516.9285714,829.0714286,718.5238095
03-01-04,330.372093,541.0697674,460
04-01-04,248.0227273,416.0454545,351.3181818
05-01-04,228.3636364,410.75,337.3636364
06-01-04,232.4047619,462.047619,372.3333333
07-01-04,253.3488372,465,384.744186
08-01-04,285.7045455,516.4545455,427.5227273
09-01-04,275.8181818,522.8181818,424.2045455
10-01-04,305.7333333,619.0444444,493.6222222
11-01-04,263.4,564.7777778,441.2444444
12-01-04,237.1818182,501.3409091,394.7045455
01-01-05,263.1904762,495.3809524,386.5555556
02-01-05,236.4,424.8153846,344.7076923
03-01-05,201.3818182,378.2909091,300.9272727
04-01-05,192.5769231,387.9807692,311.5769231
05-01-05,221.3442623,385.0163934,313.2622951
06-01-05,214.0169492,425.6440678,334.3389831
07-01-05,247.7118644,491.6440678,388.9661017
08-01-05,355.852459,714.4262295,571.6229508
09-01-05,536.6825397,1063.285714,861.6190476
10-01-05,684.8333333,1326.5,1060.166667
11-01-05,698.6551724,1313.224138,1049.206897
