date,Average prices across India,value
01-01-1996,Maximum Price,257
01-01-1996,Minimum price,160
01-01-1996,Modal price,226
02-01-1996,Maximum Price,229
02-01-1996,Minimum price,133
02-01-1996,Modal price,186
03-01-1996,Maximum Price,274
03-01-1996,Minimum price,155
03-01-1996,Modal price,243
04-01-1996,Maximum Price,279
04-01-1996,Minimum price,136
04-01-1996,Modal price,254
05-01-1996,Maximum Price,312
05-01-1996,Minimum price,154
05-01-1996,Modal price,269
06-01-1996,Maximum Price,413
06-01-1996,Minimum price,229
06-01-1996,Modal price,367
07-01-1996,Maximum Price,406
07-01-1996,Minimum price,229
07-01-1996,Modal price,368
08-01-1996,Maximum Price,388
08-01-1996,Minimum price,164
08-01-1996,Modal price,340
09-01-1996,Maximum Price,363
09-01-1996,Minimum price,145
09-01-1996,Modal price,317
10-01-1996,Maximum Price,560
10-01-1996,Minimum price,160
10-01-1996,Modal price,492
11-01-1996,Maximum Price,498
11-01-1996,Minimum price,138
11-01-1996,Modal price,376
12-01-1996,Maximum Price,451
12-01-1996,Minimum price,138
12-01-1996,Modal price,385
01-01-1997,Maximum Price,323
01-01-1997,Minimum price,126
01-01-1997,Modal price,290
02-01-1997,Maximum Price,305
02-01-1997,Minimum price,134
02-01-1997,Modal price,271
03-01-1997,Maximum Price,310
03-01-1997,Minimum price,138
03-01-1997,Modal price,273
04-01-1997,Maximum Price,240
04-01-1997,Minimum price,149
04-01-1997,Modal price,214
05-01-1997,Maximum Price,238
05-01-1997,Minimum price,123
05-01-1997,Modal price,213
06-01-1997,Maximum Price,237
06-01-1997,Minimum price,64
06-01-1997,Modal price,195
07-01-1997,Maximum Price,193
07-01-1997,Minimum price,58
07-01-1997,Modal price,148.2
08-01-1997,Maximum Price,235.4
08-01-1997,Minimum price,71.6
08-01-1997,Modal price,195
09-01-1997,Maximum Price,289.2
09-01-1997,Minimum price,78.4
09-01-1997,Modal price,240.6
10-01-1997,Maximum Price,388.4
10-01-1997,Minimum price,115.8
10-01-1997,Modal price,322
11-01-1997,Maximum Price,741.6
11-01-1997,Minimum price,211.4
11-01-1997,Modal price,617.4
12-01-1997,Maximum Price,990.25
12-01-1997,Minimum price,192
12-01-1997,Modal price,688.75
01-01-1998,Maximum Price,1528.714286
01-01-1998,Minimum price,433.8571429
01-01-1998,Modal price,1049.571429
02-01-1998,Maximum Price,1062.25
02-01-1998,Minimum price,333.5
02-01-1998,Modal price,822
03-01-1998,Maximum Price,466.7777778
03-01-1998,Minimum price,226.1111111
03-01-1998,Modal price,399.3333333
04-01-1998,Maximum Price,292.3
04-01-1998,Minimum price,146.7
04-01-1998,Modal price,243.3
05-01-1998,Maximum Price,354.4
05-01-1998,Minimum price,176.8
05-01-1998,Modal price,297
06-01-1998,Maximum Price,653.2222222
06-01-1998,Minimum price,300.3333333
06-01-1998,Modal price,566.5555556
07-01-1998,Maximum Price,897
07-01-1998,Minimum price,509.2222222
07-01-1998,Modal price,829.1111111
08-01-1998,Maximum Price,1439.666667
08-01-1998,Minimum price,696.1111111
08-01-1998,Modal price,1287.555556
09-01-1998,Maximum Price,1876.666667
09-01-1998,Minimum price,1014.555556
09-01-1998,Modal price,1723.666667
10-01-1998,Maximum Price,2703.8
10-01-1998,Minimum price,1148.1
10-01-1998,Modal price,2116.9
11-01-1998,Maximum Price,1833.125
11-01-1998,Minimum price,768.125
11-01-1998,Modal price,1436.625
12-01-1998,Maximum Price,1221.625
12-01-1998,Minimum price,651.875
12-01-1998,Modal price,1044.25
01-01-1999,Maximum Price,579
01-01-1999,Minimum price,332
01-01-1999,Modal price,491.7777778
02-01-1999,Maximum Price,330.4545455
02-01-1999,Minimum price,198.5454545
02-01-1999,Modal price,283.0909091
03-01-1999,Maximum Price,290.0909091
03-01-1999,Minimum price,166.3636364
03-01-1999,Modal price,246.7272727
04-01-1999,Maximum Price,412.6363636
04-01-1999,Minimum price,185.5454545
04-01-1999,Modal price,341.2727273
05-01-1999,Maximum Price,545.3636364
05-01-1999,Minimum price,225.4545455
05-01-1999,Modal price,451.4545455
06-01-1999,Maximum Price,497.9
06-01-1999,Minimum price,228.8
06-01-1999,Modal price,417.5
07-01-1999,Maximum Price,487
07-01-1999,Minimum price,228.1
07-01-1999,Modal price,425.1
08-01-1999,Maximum Price,443.6
08-01-1999,Minimum price,251.3
08-01-1999,Modal price,397
