state,date,Modal price (Average)
AP,01-01-04,723
AP,02-01-04,662.5
AP,03-01-04,432.5
AP,04-01-04,324.5
AP,05-01-04,331.5
AP,06-01-04,361
AP,07-01-04,404
AP,08-01-04,459
AP,09-01-04,432.5
AP,10-01-04,425
AP,11-01-04,344
AP,12-01-04,336.5
AP,01-01-05,462
AP,02-01-05,321.5
AP,03-01-05,280
AP,05-01-05,258.5
AP,06-01-05,402.5
AP,07-01-05,550
AP,08-01-05,624.5
AP,09-01-05,910.5
AP,10-01-05,1256
AP,11-01-05,999.5
AP,12-01-05,614.5
AP,01-01-06,357
AP,02-01-06,265
AP,03-01-06,224
AP,04-01-06,203
AP,05-01-06,164.5
AP,06-01-06,278
AP,07-01-06,345.5
AP,08-01-06,430.5
AP,09-01-06,377
AP,10-01-06,317.5
AP,11-01-06,364
AP,12-01-06,465.5
AP,01-01-07,757.5
AP,02-01-07,898.5
AP,03-01-07,680.5
AP,04-01-07,556
AP,05-01-07,529.5
AP,06-01-07,763.5
AP,07-01-07,853
AP,08-01-07,984
AP,09-01-07,1138
AP,10-01-07,1148
AP,11-01-07,784
AP,12-01-07,550.5
AP,01-01-08,435.5
AP,02-01-08,341.5
AP,03-01-08,324
AP,04-01-08,291.5
AP,05-01-08,296.5
AP,06-01-08,344
AP,07-01-08,665.5
AP,08-01-08,777.5
AP,09-01-08,664.5
AP,10-01-08,652.5
AP,11-01-08,1013
AP,12-01-08,1015.5
AP,01-01-09,1220.5
AP,02-01-09,1108
AP,03-01-09,813.5
AP,04-01-09,614
AP,05-01-09,518.5
AP,06-01-09,662.5
AP,07-01-09,681.5
AP,08-01-09,723.5
AP,09-01-09,732.5
AP,10-01-09,1226
AP,11-01-09,1404
AP,12-01-09,1551
AP,01-01-10,1222.5
AP,02-01-10,1031
AP,03-01-10,621
AP,04-01-10,450
AP,05-01-10,488.5
AP,06-01-10,702
AP,07-01-10,766
AP,08-01-10,866
AP,09-01-10,1016.5
AP,10-01-10,1258
AP,11-01-10,1569.5
AP,12-01-10,2220.5
AP,01-01-11,2551
AP,02-01-11,1181.5
AP,03-01-11,542
AP,04-01-11,488
AP,05-01-11,464
AP,06-01-11,606.5
AP,07-01-11,828
AP,08-01-11,1178
AP,09-01-11,1035.5
AP,10-01-11,772
AP,11-01-11,673
AP,12-01-11,522.5
AP,01-01-12,495.5
AP,02-01-12,513.5
AP,03-01-12,486.5
AP,04-01-12,441
AP,05-01-12,492
AP,07-01-12,620
AP,08-01-12,712
AP,09-01-12,623
AP,10-01-12,1037.5
AP,11-01-12,851.5
AP,12-01-12,831.5
AP,01-01-13,1116
AP,02-01-13,1768
AP,03-01-13,1256
AP,04-01-13,1014
AP,05-01-13,1286
AP,06-01-13,1289.5
AP,07-01-13,2140
AP,08-01-13,3238.5
AP,09-01-13,3388.5
AP,10-01-13,3111
AP,11-01-13,2358.5
AP,12-01-13,1435
AP,01-01-14,965
AP,02-01-14,710.5
AP,03-01-14,692.5
AP,04-01-14,725.5
AP,05-01-14,916.5
AP,06-01-14,1322
AP,07-01-14,1945.5
AP,08-01-14,1705
AP,09-01-14,1139.5
AP,10-01-14,1182.5
AP,11-01-14,1146.5
AP,12-01-14,1213
AP,01-01-15,1306
AP,02-01-15,1581
AP,03-01-15,1285.5
AP,04-01-15,1178
AP,05-01-15,1278
AP,06-01-15,1563.5
AP,07-01-15,2026.5
AP,08-01-15,3739.5
AP,09-01-15,3544.5
AP,10-01-15,2237.666667
AP,11-01-15,1946.5
AP,12-01-15,1422.5
AP,01-01-16,1219
AP,02-01-16,827
AP,03-01-16,715
ASM,01-01-05,704
ASM,02-01-05,625
ASM,03-01-05,581
ASM,04-01-05,525
ASM,05-01-05,481
ASM,06-01-05,524
ASM,07-01-05,525
ASM,08-01-05,667
ASM,09-01-05,900
ASM,10-01-05,1321
ASM,11-01-05,1692
ASM,12-01-05,1129
ASM,01-01-06,623
ASM,02-01-06,539
ASM,03-01-06,556
ASM,04-01-06,515
ASM,05-01-06,576
ASM,06-01-06,686
ASM,07-01-06,649
ASM,08-01-06,753
ASM,09-01-06,822
ASM,10-01-06,793
ASM,11-01-06,843
ASM,12-01-06,989
ASM,01-01-07,1231
ASM,02-01-07,1648
ASM,03-01-07,1133
ASM,04-01-07,883
ASM,05-01-07,804
ASM,06-01-07,985
ASM,07-01-07,1271
ASM,08-01-07,1493
ASM,09-01-07,2019
ASM,10-01-07,2054
ASM,11-01-07,1563
ASM,12-01-07,918
ASM,01-01-08,654
ASM,02-01-08,747
ASM,03-01-08,659
ASM,04-01-08,635
ASM,05-01-08,644
ASM,06-01-08,668
ASM,07-01-08,931
ASM,08-01-08,1126
ASM,09-01-08,1181
ASM,10-01-08,1033
ASM,11-01-08,1172
ASM,12-01-08,1555
ASM,01-01-09,1664
ASM,02-01-09,1482
ASM,03-01-09,1510
ASM,04-01-09,1329
ASM,05-01-09,1051
ASM,06-01-09,1030
ASM,07-01-09,1337
ASM,08-01-09,1366
ASM,09-01-09,1429
ASM,10-01-09,2367
ASM,11-01-09,2447
ASM,12-01-09,2284
ASM,01-01-10,2180
ASM,02-01-10,1750
ASM,03-01-10,1041
ASM,04-01-10,998
ASM,05-01-10,972
ASM,06-01-10,1044
ASM,07-01-10,1209
ASM,08-01-10,1242
ASM,09-01-10,1694
ASM,10-01-10,2065
ASM,11-01-10,2553
ASM,12-01-10,3690
ASM,01-01-11,3863
ASM,02-01-11,1842
ASM,03-01-11,897
ASM,04-01-11,820
ASM,05-01-11,890
ASM,06-01-11,914
ASM,07-01-11,1227
ASM,08-01-11,1507
ASM,09-01-11,1781
ASM,10-01-11,1658
ASM,11-01-11,1395
ASM,12-01-11,1197
ASM,01-01-12,913
ASM,02-01-12,842
ASM,03-01-12,784
ASM,04-01-12,841
ASM,05-01-12,942
ASM,06-01-12,1117
ASM,07-01-12,1221
ASM,08-01-12,1180
ASM,09-01-12,1120
ASM,10-01-12,1382
ASM,11-01-12,1737
ASM,12-01-12,1947
ASM,01-01-13,1897
ASM,02-01-13,2203
ASM,03-01-13,1421
ASM,04-01-13,1309
ASM,05-01-13,1341
ASM,06-01-13,1510
ASM,07-01-13,2572
ASM,08-01-13,4045
ASM,09-01-13,5300
ASM,10-01-13,5500
ASM,11-01-13,4305
ASM,12-01-13,2299
ASM,01-01-14,1698
ASM,02-01-14,1464
ASM,03-01-14,1275
ASM,04-01-14,1273
ASM,05-01-14,1685
ASM,06-01-14,1868
ASM,07-01-14,2567
ASM,08-01-14,2527
ASM,09-01-14,2341
ASM,10-01-14,2300
ASM,11-01-14,2463
ASM,12-01-14,2488
ASM,01-01-15,2125
ASM,02-01-15,2065
ASM,03-01-15,1592
ASM,04-01-15,1709
ASM,05-01-15,2130
ASM,06-01-15,2355
ASM,07-01-15,2730
ASM,08-01-15,4490
ASM,09-01-15,5232
